enst	entrez	tsea	pLI	oe_lof_upper	mis_z	subre	module	go	corum	string	target
ENST00000265087	8614	0	0.26588	0.642	1.2	2	other	0	no	0	0
ENST00000265107	55100	0	1.58e-09	0.757	2.2072	0	M1	6	no	0	0
ENST00000265113	6507	1	0.9891399999999999	0.281	1.7866	1	other	5	no	1	0
ENST00000265132	259	0	2.7899999999999997e-13	1.374	-0.16203	0	other	1	no	0	0
ENST00000265138	57561	0	0.98715	0.28600000000000003	1.8659999999999999	7	M1	5	no	0	0
ENST00000265148	1062	0	0.24145999999999998	0.308	1.2657	6	other	20	no	0	0
ENST00000265164	839	0	0.00012665	1.089	0.79585	1	M1	1	no	0	0
ENST00000265165	51176	0	0.9978899999999999	0.212	1.5719	2	other	44	no	0	0
ENST00000265171	1950	0	8.53e-17	0.74	0.9383600000000001	2	other	22	no	0	0
ENST00000265174	9061	0	6.33e-08	0.792	1.7380000000000002	0	M7	0	no	0	0
ENST00000265192	51247	0	0.55414	0.7170000000000001	1.3993	0	M7	0	no	0	0
ENST00000265239	84223	0	3.02e-21	1.713	0.35249	0	M1	1	no	0	0
ENST00000265245	55341	0	4.55e-12	0.894	0.33489	0	other	2	no	0	0
ENST00000265271	54439	0	0.9999899999999999	0.20600000000000002	2.4786	2	other	0	no	0	0
ENST00000265272	9832	1	1.0	0.17600000000000002	3.3619	0	M1	0	no	0	0
ENST00000265294	2568	0	1.8199999999999998e-13	1.405	0.16443	0	other	3	no	0	0
ENST00000265304	6742	0	0.0036396	0.904	1.1089	0	M7	6	no	0	0
ENST00000265310	56302	0	2.64e-14	0.9740000000000001	-0.19279000000000002	0	other	8	no	0	0
ENST00000265333	7416	0	0.9726600000000001	0.306	1.3262	0	other	9	no	0	0
ENST00000265334	51265	0	2.26e-12	1.148	0.38824000000000003	0	other	26	no	0	0
ENST00000265339	7320	0	0.19663	0.7020000000000001	2.1783	0	other	11	no	0	0
ENST00000265342	23105	1	0.017889	0.444	1.0123	0	other	0	no	0	0
ENST00000265350	9477	0	0.30394	0.7659999999999999	1.2275	2	M7	2	yes	0	0
ENST00000265351	57510	0	0.99971	0.253	3.1112	0	M1	4	no	0	0
ENST00000265354	6722	0	0.97545	0.3	2.7891	0	M7	21	no	0	0
ENST00000265362	10371	0	0.9779	0.307	1.7496	7	M1	39	no	0	0
ENST00000265371	8829	0	0.9858399999999999	0.3	1.56	1	M1	75	no	0	0
ENST00000265394	54504	0	3.35e-11	1.072	0.60775	1	M4	0	no	0	0
ENST00000265403	7365	0	1.03e-17	1.6369999999999998	-2.86	0	other	0	no	0	0
ENST00000265404	26228	0	1.7e-05	1.021	0.025063	0	M1	7	no	0	0
ENST00000265421	5423	0	3.4e-05	0.807	1.5659	1	M7	5	no	0	0
ENST00000265428	11059	0	0.99966	0.248	2.812	0	other	2	no	0	0
ENST00000265431	793	1	0.24308000000000002	0.511	1.442	1	other	12	no	0	0
ENST00000265437	7982	0	0.99703	0.264	3.3795	0	M1	0	no	0	0
ENST00000265440	22797	0	4.28e-08	1.135	-0.092227	0	other	1	no	0	0
ENST00000265441	7472	0	0.017811	0.685	1.1841	1	other	18	no	0	0
ENST00000265447	311	0	4.7e-10	0.98	-0.24859	1	other	3	no	0	0
ENST00000265462	25824	0	0.00017921	1.2819999999999998	0.082013	0	other	0	no	0	0
ENST00000265465	23649	0	8.729999999999999e-07	0.65	1.0585	3	other	2	no	0	0
ENST00000265498	4258	0	0.078275	0.932	0.37301	0	other	0	no	0	0
ENST00000265500	4717	0	0.10105	1.2690000000000001	-0.65079	0	other	0	no	0	0
ENST00000265523	644	0	0.00034786	0.922	0.34634000000000004	0	M7	0	no	0	0
ENST00000265529	64147	0	5.48e-22	1.143	0.57604	0	other	2	no	0	0
ENST00000265560	7375	0	1.61e-09	0.634	1.0987	0	M7	11	no	0	0
ENST00000265562	25930	0	0.031312	0.37200000000000005	1.3305	0	M1	10	no	0	0
ENST00000265563	5576	0	0.11865	0.523	1.2625	2	M7	11	no	0	0
ENST00000265564	23016	0	1.04e-05	1.092	-0.23706999999999998	0	M1	1	no	0	0
ENST00000265565	22937	0	2.91e-06	0.522	2.5694	0	other	1	no	0	0
ENST00000265572	4986	1	4.0600000000000004e-05	1.311	0.46416999999999997	1	M13	2	no	0	0
ENST00000265598	27074	0	0.00026747	0.9620000000000001	0.28403	0	other	4	no	0	0
ENST00000265605	64577	0	2.48e-12	1.462	0.49472	0	other	0	no	0	0
ENST00000265627	5446	0	2.1e-07	1.262	-0.046208	0	other	0	no	0	0
ENST00000265634	4885	0	0.030511	0.731	0.67932	0	other	3	no	0	0
ENST00000265641	1374	0	5.11e-09	0.6609999999999999	1.6393	0	other	2	no	0	0
ENST00000265643	51083	0	4.39e-06	1.75	-0.069082	0	other	15	no	0	0
ENST00000265651	26273	0	0.98916	0.293	2.149	0	other	0	no	0	0
ENST00000265662	20	1	1.0	0.171	4.9114	0	other	19	no	0	0
ENST00000265686	10312	0	2.4e-13	0.866	0.6268600000000001	0	other	5	no	0	0
ENST00000265689	1119	0	0.22746999999999998	0.479	1.0029	0	M1	0	no	0	0
ENST00000265707	8749	0	6.879999999999999e-35	1.569	-0.5788399999999999	0	other	0	no	1	0
ENST00000265717	5577	0	0.99713	0.22	2.4727	5	M7	12	no	0	0
ENST00000265720	11062	0	3.18e-05	1.114	0.75046	0	M1	0	no	0	0
ENST00000265723	5244	0	2.21e-07	0.508	1.9749	1	other	1	no	0	0
ENST00000265724	5243	0	1.26e-05	0.473	1.44	0	other	5	no	0	0
ENST00000265727	53616	1	0.25101	0.363	2.3402	1	M13	16	no	0	0
ENST00000265728	10926	0	0.9929600000000001	0.282	0.9790700000000001	5	M1	5	no	0	0
ENST00000265729	6717	0	3.48e-10	1.462	0.010393000000000001	0	other	18	no	0	0
ENST00000265753	7458	0	0.43982	0.5479999999999999	2.5105	0	other	1	no	0	0
ENST00000265769	10863	0	2.96e-24	1.162	-0.91545	0	other	0	no	0	0
ENST00000265801	11178	1	0.95491	0.34	0.21711999999999998	4	M7	8	no	0	0
ENST00000265807	63898	0	3.14e-22	1.416	-2.1678	0	other	1	no	0	0
ENST00000265825	29999	0	1.35e-10	1.067	0.20199	0	other	5	no	0	0
ENST00000265827	168850	0	0.99985	0.161	0.9909	0	M7	0	no	0	0
ENST00000265840	55531	1	0.7925800000000001	0.42200000000000004	0.98385	0	M4	0	no	0	0
ENST00000265854	8379	0	6.84e-16	0.9690000000000001	0.025197	0	M1	17	no	0	0
ENST00000265866	3189	0	0.99221	0.27	2.5742	1	M7	6	no	1	0
ENST00000265872	55749	0	0.9999899999999999	0.215	3.6371	0	M1	6	no	1	0
ENST00000265881	25996	0	0.023229	0.7709999999999999	1.0066	0	other	0	no	0	0
ENST00000265896	6713	0	0.9759399999999999	0.314	1.1425	2	M1	0	no	0	0
ENST00000265909	399979	0	8.83e-12	0.857	-0.57868	0	other	10	no	0	0
ENST00000265944	53904	0	1.8100000000000004e-45	1.04	-0.13171	5	other	10	no	0	0
ENST00000265960	79109	0	0.9999100000000001	0.153	2.8287	0	other	5	no	0	0
ENST00000265963	2965	0	0.98982	0.29100000000000004	1.7981	0	M7	14	no	0	0
ENST00000265965	26297	0	5.29e-14	1.274	0.47243	0	other	2	no	0	0
ENST00000265968	8048	0	0.00015859	1.311	-0.13932999999999998	0	other	21	no	0	0
ENST00000265970	5286	0	0.010126000000000001	0.359	1.2974	0	other	11	no	0	0
ENST00000265978	84067	0	0.9902299999999999	0.293	1.1619	0	M4	0	no	0	0
ENST00000265981	50862	0	9.02e-05	1.153	1.0428	0	other	0	no	0	0
ENST00000265983	3263	0	1.2999999999999999e-11	1.128	0.81844	1	M1	0	no	0	0
ENST00000265986	3416	0	0.0066308999999999995	0.414	2.0777	0	M7	8	no	0	0
ENST00000265990	9044	0	1.0	0.128	4.3771	0	M1	2	no	0	0
ENST00000265997	22849	0	0.99846	0.22699999999999998	2.5588	2	other	19	no	0	0
ENST00000266000	1616	0	0.098633	0.496	1.4852	0	M1	45	no	0	0
ENST00000266014	55830	0	1.1299999999999999e-08	1.1340000000000001	0.6208100000000001	0	M1	0	no	0	0
ENST00000266022	10180	0	1.0	0.136	2.1708	1	M1	4	no	0	0
ENST00000266025	11070	0	0.7945399999999999	0.495	1.482	0	M7	0	no	0	0
ENST00000266037	1795	1	1.0	0.158	3.9356	2	other	0	no	0	0
ENST00000266058	6585	1	0.9999899999999999	0.222	3.0887	2	M4	19	no	0	0
ENST00000266066	6425	0	5.18e-06	1.4340000000000002	0.6320600000000001	1	M1	6	no	0	0
ENST00000266077	56731	0	0.21856	0.68	0.18797	0	other	1	no	0	0
ENST00000266079	24148	0	0.0032101	0.441	4.8512	0	M7	14	yes	1	0
ENST00000266086	6527	0	1.15e-16	1.133	0.83941	0	other	0	no	0	0
ENST00000266087	25793	0	5.79e-07	0.877	-0.43985	0	other	10	no	0	0
ENST00000266088	6523	0	8.75e-08	0.7709999999999999	1.8330000000000002	0	other	2	no	0	0
ENST00000266126	8892	0	2.0799999999999998e-10	1.517	1.0286	0	M7	15	no	0	0
ENST00000266254	25809	0	5.91e-06	0.87	1.4633	1	M1	1	no	0	0
ENST00000266304	7008	1	0.6329100000000001	0.636	2.1406	1	other	0	no	0	0
ENST00000266383	283358	0	6.79e-15	0.775	0.71015	1	other	0	no	0	0
ENST00000266397	121506	0	1.09e-12	1.8630000000000002	-0.40253	0	other	0	no	0	0
ENST00000266483	84920	0	1.32e-06	1.203	-0.028305	4	M7	0	no	0	0
ENST00000266503	56938	0	6.04e-10	0.878	0.38887	0	other	3	no	0	0
ENST00000266505	89869	0	1.4999999999999999e-12	1.025	-0.60777	0	other	3	no	0	0
ENST00000266517	55500	0	0.92558	0.36	1.9141	3	M7	0	no	0	0
ENST00000266529	85437	0	0.0035488	0.9079999999999999	0.96162	0	other	5	no	1	0
ENST00000266534	84216	0	2.96e-06	0.831	1.5599	0	other	1	no	0	0
ENST00000266542	51279	0	3.46e-08	1.156	0.9022600000000001	0	other	0	no	0	0
ENST00000266551	10219	0	0.00030393	1.163	0.78981	0	M1	0	no	0	0
ENST00000266557	939	0	0.010011	0.92	0.13152	0	other	2	no	0	0
ENST00000266560	83758	0	4.92e-05	1.59	0.40202	0	other	0	no	0	0
ENST00000266579	55089	0	0.56028	0.413	1.5002	1	other	0	no	0	0
ENST00000266581	347902	0	0.59743	0.55	0.97652	1	M7	0	no	0	0
ENST00000266604	84298	0	0.34929	1.045	-0.26156	0	M7	14	no	0	0
ENST00000266646	83729	0	1.1200000000000001e-08	1.4340000000000002	0.66377	1	other	2	no	0	0
ENST00000266671	22822	0	0.79833	0.44799999999999995	0.6179100000000001	3	other	0	no	0	0
ENST00000266673	55266	0	0.005201399999999999	0.845	0.41747	0	M7	0	no	0	0
ENST00000266679	11052	0	0.9999100000000001	0.154	4.0823	0	M1	7	no	1	0
ENST00000266682	55117	1	0.00060384	0.602	1.8373	0	M7	2	no	0	0
ENST00000266718	4060	0	0.07696	0.937	1.652	3	other	0	no	0	0
ENST00000266719	11081	0	1.71e-07	1.492	-0.32411	3	other	0	no	0	0
ENST00000266732	7112	0	1.55e-07	1.005	-0.60844	6	other	0	no	0	0
ENST00000266736	144193	0	3.1299999999999996e-08	1.166	-0.30437	1	other	0	no	0	0
ENST00000266743	50511	0	9.18e-05	0.9490000000000001	0.5361899999999999	0	other	10	no	0	0
ENST00000266771	121260	0	1.93e-06	0.993	1.0072	0	M7	2	no	0	0
ENST00000266971	6821	0	9.4e-07	1.079	0.44825	0	other	0	no	0	0
ENST00000266980	283375	0	7.379999999999999e-11	1.2	0.23844	0	other	8	no	0	0
ENST00000266991	50846	0	0.22445	0.675	1.6387	0	other	2	no	0	0
ENST00000267012	51411	0	4.5299999999999995e-11	0.973	1.0594	0	other	0	no	0	0
ENST00000267015	53831	0	3.3e-09	1.585	0.40437	0	other	0	no	0	0
ENST00000267082	3695	0	2.37e-06	0.649	1.4235	0	other	2	no	0	0
ENST00000267085	51380	0	6.08e-12	1.0190000000000001	0.38376	1	other	0	no	1	0
ENST00000267102	55716	0	6.609999999999999e-13	1.067	0.78074	0	M4	9	no	0	0
ENST00000267113	23344	0	1.58e-13	0.623	0.84578	0	other	5	no	0	0
ENST00000267116	283373	0	1.0	0.09	4.4928	0	other	0	no	0	0
ENST00000267119	112802	0	9.009999999999999e-07	0.946	-0.40963	0	other	0	no	0	0
ENST00000267163	5925	0	1.0	0.126	2.673	1	M7	47	no	0	0
ENST00000267199	65082	0	0.18206	0.44	1.6362	0	other	2	no	0	0
ENST00000267202	79720	0	0.058263	0.7759999999999999	-0.17618	1	M1	1	no	0	0
ENST00000267257	5829	0	0.082342	0.506	1.5732	0	other	20	no	0	0
ENST00000267291	140432	0	0.78928	0.499	0.76241	0	other	2	no	0	0
ENST00000267294	85416	1	0.7653399999999999	0.519	0.96265	4	other	0	no	0	0
ENST00000267328	55647	0	0.0038974000000000005	1.5959999999999999	0.6970000000000001	0	other	0	no	0	0
ENST00000267339	55608	0	0.1645	0.616	1.3506	0	M1	0	no	0	0
ENST00000267377	6751	1	0.7473	0.534	1.2046	2	other	0	no	0	0
ENST00000267383	64403	0	1.05e-07	0.76	1.3917	0	M1	3	no	0	0
ENST00000267406	643866	1	0.00066248	1.287	0.21318	1	other	0	no	0	0
ENST00000267426	161247	0	0.00025936	1.198	0.070228	0	other	0	no	0	0
ENST00000267460	57161	0	0.82955	0.408	1.5997	4	M7	0	no	0	0
ENST00000267484	6252	1	0.98593	0.297	0.94952	0	other	0	no	0	0
ENST00000267502	145226	0	2.26e-09	1.435	-0.14222	0	other	0	no	0	0
ENST00000267549	8477	0	0.1114	0.833	0.70432	0	other	9	no	0	0
ENST00000267568	145482	0	2.7100000000000003e-07	1.077	0.80013	0	other	0	no	0	0
ENST00000267569	122953	0	0.35921	0.71	0.9225700000000001	0	other	1	no	0	0
ENST00000267594	90050	1	0.00076374	1.249	0.45338999999999996	0	other	0	no	0	0
ENST00000267615	3705	1	0.9938899999999999	0.242	1.1749	0	other	0	no	0	0
ENST00000267620	10516	0	0.99972	0.17	1.6198	0	other	1	no	0	0
ENST00000267803	90527	0	7.59e-05	0.977	0.72109	0	other	0	no	0	0
ENST00000267807	54816	0	0.046841	0.419	1.1768	0	M7	0	no	0	0
ENST00000267814	6652	0	4.4900000000000005e-08	1.275	-0.35144000000000003	2	other	2	no	0	0
ENST00000267838	256586	0	0.41553999999999996	0.9109999999999999	0.2107	0	other	0	no	0	0
ENST00000267842	11001	0	6.36e-09	0.965	-0.19105999999999998	0	other	0	no	0	0
ENST00000267843	2252	0	0.77089	0.514	1.4934	2	other	13	no	0	0
ENST00000267845	3067	1	0.004109399999999999	0.5479999999999999	1.0355	1	other	1	no	0	0
ENST00000267859	663	0	6.459999999999998e-05	0.852	-0.24831	0	M1	1	no	0	0
ENST00000267884	6727	0	0.87497	0.441	0.84329	0	M7	0	no	0	0
ENST00000267889	85455	1	0.19897	0.405	0.91125	1	M4	0	no	0	0
ENST00000267938	92912	0	8.74e-08	0.9440000000000001	0.62445	0	M7	0	no	0	0
ENST00000267953	597	0	0.20785	0.909	1.1297	0	other	2	no	0	0
ENST00000267970	10099	0	0.05975900000000001	0.772	1.8066	0	other	0	no	0	0
ENST00000267973	80349	0	0.0048017	0.7240000000000001	1.9522	0	M7	26	no	0	0
ENST00000268042	91947	0	1.71e-07	1.128	0.6169399999999999	0	M7	4	no	0	0
ENST00000268053	1583	0	5.49e-07	0.8809999999999999	0.76894	0	other	3	no	0	0
ENST00000268070	170691	0	2.8e-15	0.732	-1.3894	2	other	0	no	0	0
ENST00000268099	10066	0	0.16007000000000002	0.5479999999999999	1.2969	0	other	0	no	0	0
ENST00000268122	51458	0	0.00010016	0.716	0.28949	0	M4	0	no	0	0
ENST00000268125	6017	1	1.13e-05	1.08	-0.30837	0	other	0	no	0	0
ENST00000268130	56964	0	4.07e-17	1.067	0.21241	0	other	0	no	0	0
ENST00000268150	4240	0	4.4e-05	0.897	-0.36468	0	other	0	no	0	0
ENST00000268154	374655	0	0.99003	0.278	2.4158	1	M7	0	no	0	0
ENST00000268164	8128	1	0.058099	0.6509999999999999	1.5046	4	M1	0	no	0	0
ENST00000268171	5045	0	0.9999399999999999	0.191	2.5033	0	other	11	no	0	0
ENST00000268182	8826	0	0.99754	0.275	2.4441	0	other	30	no	0	0
ENST00000268184	64784	0	0.86585	0.359	0.4005	0	M7	0	no	0	0
ENST00000268379	7385	0	2.86e-06	0.8340000000000001	0.95134	0	M7	0	no	0	0
ENST00000268389	10261	0	0.0014791	1.085	0.14807	0	other	0	no	0	0
ENST00000268459	85407	0	0.99344	0.265	0.8261	1	other	17	no	0	0
ENST00000268482	9785	0	2.1099999999999997e-12	0.607	2.6725	0	M7	8	yes	1	0
ENST00000268483	54957	0	0.0043549	1.556	-0.79392	0	M7	2	no	1	0
ENST00000268595	146225	0	2.94e-05	1.7	0.35525	0	other	0	no	0	0
ENST00000268603	1009	0	0.9999	0.156	1.5868	2	M1	4	no	0	0
ENST00000268607	81631	0	0.0019065000000000002	1.3659999999999999	0.29288000000000003	0	other	6	no	0	0
ENST00000268613	1012	0	0.0007058	0.594	-0.53325	0	other	15	no	0	0
ENST00000268616	23174	0	0.9785200000000001	0.311	0.81288	3	M1	0	no	0	0
ENST00000268624	161931	0	2.39e-12	1.1440000000000001	-2.3586	0	other	0	no	0	0
ENST00000268638	3394	0	0.9480700000000001	0.344	1.1873	0	other	2	no	0	0
ENST00000268655	7727	0	0.014823	0.705	0.56014	0	M7	0	no	0	0
ENST00000268661	6123	0	4.950000000000001e-16	1.607	-0.6865	0	M7	0	no	0	0
ENST00000268668	4716	0	0.004751600000000001	1.094	-1.1483	0	other	0	no	0	0
ENST00000268674	91151	0	2.07e-12	1.345	0.056239	0	M1	0	no	0	0
ENST00000268676	54849	0	0.0025904	0.5710000000000001	1.0162	0	other	1	no	0	0
ENST00000268679	863	0	0.048373	0.5	0.15534	2	M7	11	no	0	0
ENST00000268704	6687	0	1.9699999999999998e-36	1.651	-0.8719899999999999	0	other	2	no	0	0
ENST00000268711	55090	0	0.4077	0.925	0.79374	0	M7	0	no	0	0
ENST00000268717	8533	0	0.99949	0.18100000000000002	2.3651	0	M7	2	no	0	0
ENST00000268720	27132	1	4.27e-24	1.381	-0.9783700000000001	0	other	3	no	0	0
ENST00000268793	64180	0	5.269999999999999e-10	1.276	1.0149	0	other	0	no	0	0
ENST00000268797	81577	0	0.046624	0.8190000000000001	1.0096	1	M7	0	no	0	0
ENST00000268802	28987	0	1.13e-09	1.213	-0.60682	0	M1	0	no	0	0
ENST00000268835	5636	0	0.0031244	0.772	2.6039	0	M1	0	no	0	0
ENST00000268864	91608	1	0.0041933	1.127	1.6112	0	other	5	no	0	0
ENST00000268876	146862	0	2.91e-15	0.909	-0.4035	0	other	5	no	0	0
ENST00000268919	84643	0	1.6099999999999999e-10	1.38	-0.71485	0	other	9	no	0	0
ENST00000268957	10140	0	0.95365	0.31	1.4524	0	M7	5	no	0	0
ENST00000268989	9905	0	4.29e-09	0.604	0.29945	0	other	0	no	0	0
ENST00000269025	90506	0	0.0011032	0.9179999999999999	0.85435	0	other	0	no	0	0
ENST00000269053	124912	0	0.00011484	1.3880000000000001	-0.37975	0	other	1	no	0	0
ENST00000269097	92579	0	4.72e-06	1.031	0.69563	0	other	2	no	0	0
ENST00000269127	124773	0	1.56e-12	1.838	0.6857800000000001	0	other	0	no	0	0
ENST00000269159	3613	0	0.0010588	0.924	0.85077	2	other	0	no	0	0
ENST00000269187	25800	0	4.94e-07	0.8	1.1273	0	M1	3	no	0	0
ENST00000269190	1837	1	0.053985000000000005	0.415	1.3477	0	other	1	no	0	0
ENST00000269195	2589	0	0.0019090999999999997	0.5870000000000001	2.5189	0	M7	2	no	0	0
ENST00000269202	4225	0	1.94e-24	1.2790000000000001	0.71717	0	other	0	no	0	0
ENST00000269214	114799	0	0.99995	0.17	0.43144	1	M7	16	no	1	0
ENST00000269298	112483	0	2.78e-06	1.548	0.46874	0	M7	5	no	0	0
ENST00000269299	432	0	3.87e-15	1.7369999999999999	0.13012	0	M1	0	no	0	0
ENST00000269305	7157	0	0.53235	0.469	0.98255	6	other	71	no	0	0
ENST00000269346	94015	1	9.93e-05	0.652	0.35605	0	other	1	no	1	0
ENST00000269373	79672	0	4.56e-09	1.544	-0.32965	0	M7	0	no	0	0
ENST00000269383	201292	0	2.71e-21	1.8430000000000002	0.408	0	other	2	no	0	0
ENST00000269385	57332	0	0.9927	0.248	0.9379200000000001	2	other	5	no	1	0
ENST00000269389	6398	0	0.057602999999999994	1.032	0.35091999999999995	1	other	1	no	0	0
ENST00000269439	494470	1	0.9719399999999999	0.317	1.9384	5	M1	5	no	0	0
ENST00000269466	55520	0	0.88118	0.419	0.43561000000000005	0	M1	0	no	0	0
ENST00000269499	54877	0	0.9937600000000001	0.285	0.44683	0	M7	0	no	0	0
ENST00000269503	147381	1	0.12162	1.165	1.8657	1	other	1	no	1	0
ENST00000269571	2064	0	0.005989199999999999	0.397	3.2497	1	other	20	no	0	0
ENST00000269576	3858	0	0.0025253	0.622	0.25311999999999996	0	other	1	no	0	0
ENST00000269582	5409	0	0.0050065	1.08	0.44883999999999996	0	other	4	no	0	0
ENST00000269593	3487	0	0.023056999999999998	0.98	0.8535299999999999	0	other	4	no	0	0
ENST00000269701	10270	0	0.66425	0.397	2.95e-05	0	M1	9	no	0	0
ENST00000269703	126410	0	5.29e-06	0.7829999999999999	0.40166999999999997	0	other	0	no	0	0
ENST00000269829	27300	0	0.00099546	1.577	-0.7162	0	M1	0	no	0	0
ENST00000269844	63977	0	8.22e-06	0.455	2.42	0	M1	5	no	0	0
ENST00000269856	55527	0	8.34e-10	1.374	1.4223	0	M1	2	no	0	0
ENST00000269878	117286	0	2.3399999999999998e-09	1.827	0.039299	0	other	0	no	0	0
ENST00000269881	125972	0	6.98e-10	1.14	0.35272	0	other	0	no	0	0
ENST00000269886	6455	0	0.011714	0.639	0.91846	0	M1	0	no	0	0
ENST00000269967	90324	0	1.6800000000000002e-09	1.4680000000000002	0.77589	0	M7	0	no	0	0
ENST00000269973	7596	0	5.7e-07	0.789	0.8799899999999999	0	M1	1	no	0	0
ENST00000270061	170463	0	0.37022	0.445	0.33263000000000004	0	M7	0	no	1	0
ENST00000270077	5678	0	3.8700000000000004e-22	1.849	-2.9166	0	other	0	no	0	0
ENST00000270112	30811	0	0.9958899999999999	0.263	1.9014	4	M7	1	no	0	0
ENST00000270139	3454	0	3.2499999999999997e-12	1.2109999999999999	0.36136	0	other	0	no	0	0
ENST00000270142	6647	0	0.1773	0.978	0.8381700000000001	0	other	48	no	0	0
ENST00000270172	29947	0	8.420000000000001e-13	1.297	0.10302	0	other	13	no	0	0
ENST00000270221	2014	0	2.62e-06	1.56	0.62602	0	other	0	no	0	0
ENST00000270223	1762	0	0.36917	0.515	2.4078	0	other	0	no	0	0
ENST00000270225	10055	0	0.9876	0.26899999999999996	0.5627800000000001	0	M7	9	no	0	0
ENST00000270233	4059	0	1.1000000000000001e-08	0.835	0.25324	0	other	1	no	0	0
ENST00000270257	79760	0	0.6454300000000001	0.889	0.34722	0	M7	6	no	0	0
ENST00000270279	23624	0	4.24e-11	1.1420000000000001	0.37439	0	other	5	no	0	0
ENST00000270328	81794	0	0.84288	0.33	3.628	2	M1	0	no	0	0
ENST00000270357	57140	0	4.1200000000000005e-05	0.789	2.2245	0	other	0	no	0	0
ENST00000270451	51545	0	0.094471	1.3090000000000002	0.92174	0	M7	0	no	0	0
ENST00000270458	59283	1	0.9638	0.289	2.3372	0	other	38	no	1	0
ENST00000270459	126208	0	0.8911	0.41600000000000004	2.4363	0	other	0	no	0	0
ENST00000270509	84467	0	5.4399999999999995e-42	0.743	0.9584	5	M1	0	no	0	0
ENST00000270517	51295	0	6.76e-06	0.985	0.18438	0	M7	0	no	0	0
ENST00000270538	10469	0	0.0015924000000000001	0.597	0.23168000000000002	0	M1	0	no	0	0
ENST00000270560	9032	0	0.007924299999999999	0.97	0.79464	0	other	2	no	0	0
ENST00000270583	54758	0	4.56e-31	1.859	-2.6169	0	M1	0	no	0	0
ENST00000270586	5694	0	0.015778999999999998	0.8340000000000001	1.4582	0	other	24	no	0	0
ENST00000270617	25888	0	0.26241	0.44299999999999995	1.5536	0	M7	0	no	0	0
ENST00000270631	113091	0	0.0026248	1.942	-0.44023999999999996	1	M1	0	no	0	0
ENST00000270645	57333	0	3.81e-11	1.706	0.21484	0	M7	7	no	0	0
ENST00000270649	80110	0	1.51e-07	1.0070000000000001	0.2725	3	M7	1	no	0	0
ENST00000270722	63976	0	0.9999899999999999	0.187	1.3471	4	other	21	no	0	0
ENST00000270747	128272	0	3.95e-20	1.151	0.96514	2	other	4	no	0	0
ENST00000270792	83442	0	0.149	1.0590000000000002	0.26554	0	M7	0	no	0	0
ENST00000270800	58985	0	0.0056855	0.627	0.17928	0	other	0	no	0	0
ENST00000270812	51042	0	0.005967899999999999	1.435	0.60543	0	other	6	no	0	0
ENST00000270815	127703	1	0.0013436	1.4809999999999999	0.11284000000000001	0	other	0	no	0	0
ENST00000270879	8547	0	0.0038008000000000004	0.8959999999999999	0.42241999999999996	0	other	0	no	0	0
ENST00000271064	64129	0	0.00032933	0.636	1.272	0	other	0	no	0	0
ENST00000271069	1307	0	2.02e-26	0.6559999999999999	1.1604	0	other	1	no	0	0
ENST00000271227	126969	0	3.6e-27	1.473	0.99406	0	other	0	no	0	0
ENST00000271277	55917	0	0.0027461	0.685	0.83095	4	M1	3	no	0	0
ENST00000271308	5686	0	0.9937600000000001	0.198	2.807	0	other	24	no	0	0
ENST00000271311	163479	0	4.2e-11	0.978	0.82478	0	other	0	no	0	0
ENST00000271324	963	0	0.0022960999999999997	0.991	0.8103199999999999	0	other	2	no	0	0
ENST00000271331	84432	0	6.17e-06	1.901	-0.18605	0	other	3	no	0	0
ENST00000271332	1952	1	0.9999399999999999	0.251	2.176	0	other	5	no	0	0
ENST00000271375	375035	0	0.011062	0.9	-0.16277	0	M1	0	no	0	0
ENST00000271417	387597	1	0.95385	0.335	1.2559	3	other	0	no	0	0
ENST00000271450	2212	0	2.01e-06	1.3459999999999999	0.35207	0	other	0	no	0	0
ENST00000271452	83540	0	3.82e-05	0.713	1.3697	7	other	13	no	0	0
ENST00000271469	6675	0	0.006934100000000001	0.562	1.1159	0	M7	0	no	0	0
ENST00000271526	5546	0	0.96281	0.33	1.0909	0	M7	5	no	1	0
ENST00000271532	83417	0	7.910000000000001e-10	0.9420000000000001	-0.57668	0	other	0	no	0	0
ENST00000271583	26092	0	5.7400000000000004e-08	0.7979999999999999	-0.8317700000000001	0	other	1	no	0	0
ENST00000271588	83872	0	3.6299999999999996e-38	0.483	0.28025	0	other	0	no	0	0
ENST00000271636	57530	0	1.8899999999999997e-31	0.948	0.16995	1	other	4	no	0	0
ENST00000271638	6282	0	0.0084662	1.8019999999999998	0.30918	0	other	2	no	0	0
ENST00000271640	9869	0	1.0	0.201	4.0082	1	M1	26	no	0	0
ENST00000271657	5298	0	0.8660700000000001	0.345	3.5512	0	other	1	no	0	0
ENST00000271732	55204	0	1.26e-05	1.064	0.9419	0	other	6	no	0	0
ENST00000271835	49860	0	0.00012577	1.3659999999999999	-0.49723999999999996	0	other	6	no	0	0
ENST00000271850	7170	0	0.031107999999999997	0.629	2.3847	0	other	2	no	0	0
ENST00000271857	11000	0	3.37e-22	1.412	-1.6715	1	M1	0	no	0	0
ENST00000271889	148327	0	5.14e-06	1.02	0.0051118000000000005	1	M1	0	no	0	0
ENST00000271971	10753	0	1.33e-22	1.14	-0.099732	0	other	0	no	0	0
ENST00000272065	52	0	3.61e-07	1.624	-0.21072	0	other	2	no	0	0
